name,id,type
Lars Klingbeil,lk,person
Ursula von der Leyen,uvdl,person
Norbert Röttgen,nr,person
Sahra Wagenknecht,sw,person
Constanze Stelzenmüller,cs,person
Christian Lindner,cl,person
Karl Schlögel,ks,person
Ljudmyla Melnyk,lm,person
Kristina Dunz,kd,person
Egils Levits,el,person
Annalena Baerbock,ab,person
Frans Timmermans,ft,person
Andrij Melnyk,am,person
Alexander Graf Lambsdorff,agl,person
Egon Ramms,er,person
Robert Habeck,rh,person
Claudia Major,cm,person
Katja Petrowskaja,kp,person
Roderich Kiesewetter,rw,person
Folge 500,500,episode
Folge 501,501,episode
Folge 502,502,episode
Folge 503,503,episode
