from,to ,death,team_1,team_2,motivation
a,adrger,1,1,NA,NA
a,geolec,1,2,4,NA
a,roaamu,1,5,NA,NA
a,henarc,1,7,NA,NA
a,emidan,2,7,NA,NA
a,emirac,1,7,NA,NA
a,frecoo,1,10,8,NA
a,antdob,1,7,NA,NA
a,julmel,1,6,NA,NA
a,hensom,1,9,NA,NA
a,maxrys,1,9,NA,NA
a,loumic,1,11,NA,NA
a,adatol,1,12,NA,NA
a,ludjoh,1,12,NA,NA
a,engknu,1,12,NA,NA
a,gusduf,1,12,NA,NA
a,jeamir,1,12,NA,NA
a,carwie,2,12,NA,NA
a,johkor,1,12,7,NA
beroy,a,NA,NA,NA,2
b,carbor,1,1,NA,NA
b,louber,1,7,NA,NA
b,wilcol,1,7,NA,NA
b,nichan,2,7,NA,NA
b,herklo,1,10,NA,NA
b,hugeva,1,7,NA,NA
b,antfou,1,7,NA,NA
b,kolell,1,11,14,NA
b,olemus,1,13,NA,NA
b,persav,1,13,NA,NA
b,berjen,1,2,NA,NA
b,jorpet,2,4,NA,NA
b,hanhan,1,5,NA,NA
b,chrols,1,9,NA,NA
b,juljoh,1,9,NA,NA
b,hanuli,1,14,NA,NA
b,larand,1,12,NA,NA
b,klekle,1,14,NA,NA
b,johjah,1,11,NA,NA
b,framag,1,12,NA,NA
b,oscbja,1,12,NA,NA
b,ingsam,1,12,NA,NA
b,hanjoh,1,12,NA,NA
b,johand,1,12,NA,NA
b,ololar,1,12,NA,NA
b,larlar,1,12,NA,NA
b,adokar,1,12,NA,NA
b,axejoh,1,12,NA,NA
b,carbee,1,14,NA,NA
b,karbry,1,14,NA,NA
geonew,b,NA,NA,NA,2
c,robsco,1,1,2,NA
c,albarm,1,3,NA,NA
c,charoy,1,4,NA,NA
c,micbar,1,5,NA,NA
c,ernsha,1,6,NA,NA
c,geomul,1,6,NA,NA
c,regske,1,9,8,NA
c,regkoe,1,10,7,NA
c,edwwil,1,10,NA,NA
c,thohod,1,7,NA,NA
c,harfer,1,7,NA,NA
c,louber,1,7,NA,NA
c,thofea,1,14,NA,NA
c,jamdel,1,9,NA,NA
c,fredai,1,14,NA,NA
c,chafor,1,14,NA,NA
c,jaccro,1,14,NA,NA
c,edgeva,1,14,NA,NA
c,wilsmy,1,14,NA,NA
c,davall,1,14,NA,NA
c,thoken,1,14,NA,NA
c,wilmac,1,14,NA,NA
c,gilsco,1,14,NA,NA
c,artbli,1,14,NA,NA
c,wilcla,1,11,NA,NA
c,clahar,1,14,NA,NA
c,horbuc,1,7,NA,NA
c,artpil,1,12,NA,NA
c,wilhea,1,12,NA,NA
c,jamdel1,1,12,9,NA
c,frawil,1,12,NA,NA
c,thowil,1,12,NA,NA
c,geocro,1,12,NA,NA
c,ernjoy,1,12,NA,NA
c,thocre,1,12,NA,NA
c,jeshan,1,12,NA,NA
c,wilwel,1,13,NA,NA
c,wilpet,1,12,NA,NA
c,johwal,1,12,NA,NA
c,jamdun,1,12,14,NA
c,henbre,1,11,NA,NA
c,geovin,2,12,NA,NA
c,chabon,2,12,NA,NA
c,willas,1,14,NA,NA
c,artqua,1,14,NA,NA
c,thowhi,1,14,NA,NA
c,fraplu,1,14,NA,NA
c,wilpag,1,14,NA,NA
c,wilhub,1,9,NA,NA
brgov,c,NA,NA,NA,2
llelon,c,NA,NA,NA,2
rgs,c,NA,NA,NA,2
alfhar,c,NA,NA,NA,2
